location,date,festivals
Mumbai,1/2020,"New Year ,Makar Sankranti"
Mumbai,2/2020,""
Mumbai,3/2020,"Gudhi Padwa"
Mumbai,4/2020,""
Mumbai,5/2020,""
Mumbai,6/2020,""
Mumbai,7/2020,""
Mumbai,8/2020,"Ganesh Festival,Raksha Bandhan"
Mumbai,9/2020,""
Mumbai,10/2020,"Diwali"
Mumbai,11/2020,""
Mumbai,12/2020,"Christmas"
Kolkata,1/2020,"New Year"
Kolkata,2/2020,""
Kolkata,3/2020,"Gudhi Padwa"
Kolkata,4/2020,"Holi"
Kolkata,5/2020,"Eid"
Kolkata,6/2020,""
Kolkata,7/2020,""
Kolkata,8/2020,"Raksha Bandhan"
Kolkata,9/2020,""
Kolkata,10/2020,"Durga Puja, Kali Puja"
Kolkata,11/2020,""
Kolkata,12/2020,"Christmas"
